id,title,description,link,published,source,source_url,sentiment,sentiment_confidence,sentiment_positive,sentiment_neutral,sentiment_negative,token_count,scraped_at,people,organizations,locations,dates,money,events,entity_count,keywords,top_keywords
61,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,"Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.",https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,"Wed, 19 Apr 2023 01:49:51 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.6062469482421875,0,0,0,35,2025-12-01T17:25:08.427607,,,Maine,,,,0,interest; maine authorities; a person; maine; authorities; person; people; 4 people; a home; two shooting incidents,interest; maine authorities; a person; maine; authorities
49,ADHD medication abuse in schools is a 'wake-up call',"At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.",https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,"Tue, 25 Apr 2023 17:44:36 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.5300323963165283,0,0,0,26,2025-12-01T17:25:08.427542,,,the United States,the year,,,0,schools; adhd medication abuse; some middle and high schools; the united states; 1 in 4 teens; prescription stimulants; attention deficit hyperactivity disorder; the year; a new study; adhd,schools; adhd medication abuse; some middle and high schools; the united states; 1 in 4 teens
63,Damar Hamlin cleared to resume football activities after January cardiac arrest,"Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.",https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,"Tue, 18 Apr 2023 22:11:37 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.9140520691871643,0,0,0,28,2025-12-01T17:25:08.427617,Damar Hamlin; Buffalo Bills,NFL,,January; Tuesday,,,0,january; football activities; damar; hamlin; football; activities; arrest; damar hamlin; january cardiac arrest buffalo bills safety damar hamlin; his cardiac arrest,january; football activities; damar; hamlin; football
55,GOP prepared to block vote to replace Feinstein on Senate Judiciary,"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,"Tue, 18 Apr 2023 22:03:13 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.7806566953659058,0,0,0,37,2025-12-01T17:25:08.427574,Feinstein; Chuck Schumer; Dianne Feinstein; Ben Cardin,GOP; Senate Judiciary Senate; the Senate Judiciary Committee,Maryland,Tuesday,,,0,vote; feinstein; senate; tuesday; maryland; republicans; judiciary; sen.; senate judiciary senate majority leader chuck schumer; democratic sen. dianne feinstein,vote; feinstein; senate; tuesday; maryland
57,McCarthy slams Biden in handling of US debt,House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,"Tue, 18 Apr 2023 22:03:01 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.5862972140312195,0,0,0,34,2025-12-01T17:25:08.427587,McCarthy; Biden; Kevin McCarthy,House; GOP; Biden,US,Monday,,,0,biden; mccarthy; handling; monday; house; us debt house speaker kevin mccarthy; wall street; a fresh warning; the house gop majority; a cap,biden; mccarthy; handling; monday; house
37,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,"A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.",https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,"Tue, 18 Apr 2023 21:17:44 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.8279275298118591,0,0,0,30,2025-12-01T17:25:08.427475,,Fox News'; Dominion Voting Systems'; Fox News; Dominion,,,more than $787 million,,0,settlement; dominion; fox; news; case; a straight face; : tapper reacts; fox news' statement; a settlement; dominion voting systems' defamation case,settlement; dominion; fox; news; case
38,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump
• Opinion: For the GOP to win, it must ditch Trump
• Chris Christie mulling 2024 White House bid
• Analysis: The fire next time has begun burning in Tennessee",https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,"Tue, 18 Apr 2023 20:34:45 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.5671288967132568,0,0,0,41,2025-12-01T17:25:08.427480,"McCarthy; Trump
•; Chris Christie",Millions; Biden • DeSantis; GOP; White House,US; Washington; Tennessee,,,,0,millions; mccarthy; biden; desantis; washington; support; opinion; tennessee; trump; massive consequences,millions; mccarthy; biden; desantis; washington
51,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.",https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,"Tue, 18 Apr 2023 20:29:46 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.6366384625434875,0,0,0,39,2025-12-01T17:25:08.427552,Clarence Thomas,Senate; the Supreme Court; GOP,,Tuesday,,,0,democrats; justice clarence thomas; their plan; tuesday; reports; gifts; justice; clarence; thomas; plan,democrats; justice clarence thomas; their plan; tuesday; reports
46,Netflix is winding down its DVD business after 25 years,Netflix is officially winding down the business that helped make it a household name.,https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,"Tue, 18 Apr 2023 20:10:51 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.656775712966919,0,0,0,14,2025-12-01T17:25:08.427525,,,Netflix,25 years,,,0,netflix; business; its dvd business; 25 years; the business; dvd; years; household,netflix; business; its dvd business; 25 years; the business
65,Top US Navy admiral defends non-binary sailor amid some Republican criticism,"The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is ""particularly proud of this sailor.""",https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,"Tue, 18 Apr 2023 19:56:40 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.7885919809341431,0,0,0,27,2025-12-01T17:25:08.427628,,US Navy,,Tuesday,,,0,sailor; tuesday; navy; admiral; criticism; top us navy admiral; non-binary sailor; some republican criticism; the top us navy admiral; a non-binary sailor,sailor; tuesday; navy; admiral; criticism
74,These ships disappeared in Lake Superior a century ago. Watch as they're found again,"The Great Lakes Shipwreck Historical Society has found two of three ships that sank in the same Lake Superior storm more than a century ago, locating one in 2021 and the other in 2022.",https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,"Tue, 18 Apr 2023 19:29:01 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.8153748512268066,0,0,0,28,2025-12-01T17:25:08.427677,,,Lake Superior,more than a century ago; 2021; 2022,,,0,ships; lake; superior; century; these ships; lake superior; the great lakes shipwreck historical society; two of three ships; the same lake superior storm; great,ships; lake; superior; century; these ships
97,Michelle Yeoh set to return in new 'Star Trek' movie,"Live long and prosper, Michelle Yeoh.",https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,"Tue, 18 Apr 2023 19:11:23 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.9228531718254089,0,0,0,13,2025-12-01T17:25:08.427826,Michelle Yeoh,,,,,,0,michelle; yeoh; michelle yeoh; new 'star trek' movie; star; trek; movie,michelle; yeoh; michelle yeoh; new 'star trek' movie; star
53,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,"Tue, 18 Apr 2023 19:07:52 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.8081868886947632,0,0,0,28,2025-12-01T17:25:08.427564,,Wagner; Wagner Group,Ukraine,,,,0,children; civilians; ukraine; wagner; commanders; two russians; former wagner commanders; two russian men; former wagner group commanders; a human rights activist,children; civilians; ukraine; wagner; commanders
70,"Undocumented immigrants are paying their taxes today, too",It's a surprising fact that's often overlooked in the immigration debate.,https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,"Tue, 18 Apr 2023 18:29:24 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.7440618872642517,0,0,0,13,2025-12-01T17:25:08.427657,,,,today,,,0,undocumented immigrants; their taxes; a surprising fact; the immigration debate; immigrants; taxes; today; fact; immigration; debate,undocumented immigrants; their taxes; a surprising fact; the immigration debate; immigrants
47,FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,"Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging"" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.",https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,"Tue, 18 Apr 2023 17:59:38 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.6031553745269775,0,0,0,39,2025-12-01T17:25:08.427530,Lina Khan; Artificial,FTC; the Federal Trade Commission,AI; US,Tuesday,,,0,"fraud; scams; chatgpt; members; consumer; harms; ftc chair lina khan; artificial intelligence tools; a ""turbocharging; consumer harms",fraud; scams; chatgpt; members; consumer
42,"Toddler crawls through White House fence, prompts Secret Service response","A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,"Tue, 18 Apr 2023 17:38:16 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.8118285536766052,0,0,0,21,2025-12-01T17:25:08.427501,,White House; Secret Service; the US Secret Service,,Tuesday,,,0,toddler; white; house; secret; service; response; white house fence; secret service response; a tiny intruder; white house grounds,toddler; white; house; secret; service
56,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,"Tue, 18 Apr 2023 17:33:17 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.6814136505126953,0,0,0,9,2025-12-01T17:25:08.427581,,,Oklahoma,,,,0,officials; recording; oklahoma governor; racist and threatening remarks; oklahoma; governor; remarks,officials; recording; oklahoma governor; racist and threatening remarks; oklahoma
62,Southwest says flights resumed after delays caused by 'tech issues',"• Delta Air Lines reports record bookings for summer travel
• Air France and Airbus acquitted in trial over 2009 plane crash",https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,"Tue, 18 Apr 2023 17:15:29 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.8673696517944336,0,0,0,24,2025-12-01T17:25:08.427612,,Delta Air Lines; • Air France; Airbus,,summer; 2009,,,0,"southwest; flights; delays; airbus; trial; air; tech issues' • delta air lines; record bookings; summer travel
• air france; 2009 plane crash",southwest; flights; delays; airbus; trial
45,See pizza delivery guy take out suspect fleeing police,"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.",https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,"Tue, 18 Apr 2023 16:40:22 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.7766766548156738,0,0,0,24,2025-12-01T17:25:08.427517,Jeanne Moos,CNN,,,,,0,pizza; guy; pizza delivery guy; police pizza guy; a pie; a fleeing suspect; cnn's jeanne moos; his best foot; delivery; police,pizza; guy; pizza delivery guy; police pizza guy; a pie
73,Artist rejects photo prize after AI-generated image wins award,A German artist has rejected an award from a prestigious international photography competition after revealing that his submission was generated by Artificial Intelligence (AI).,https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,"Tue, 18 Apr 2023 15:27:54 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.7266918420791626,0,0,0,22,2025-12-01T17:25:08.427672,,Artificial Intelligence (AI,AI,,,,0,artist; award; artist rejects photo prize; ai-generated image wins award; a german artist; an award; a prestigious international photography competition; his submission; artificial intelligence; photo,artist; award; artist rejects photo prize; ai-generated image wins award; a german artist
60,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,"The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.",https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,"Tue, 18 Apr 2023 15:09:15 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.6217385530471802,0,0,0,39,2025-12-01T17:25:08.427602,Pfizer; Moderna,FDA; The U.S. Food and Drug Administration,,Tuesday; ages 65,,,0,people; tuesday; the way; additional bivalent boosters; certain vulnerable individuals; the u.s. food and drug administration; the terms; its emergency use authorizations; the pfizer and moderna bivalent vaccines; weakened immunity,people; tuesday; the way; additional bivalent boosters; certain vulnerable individuals
41,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,"Tue, 18 Apr 2023 14:40:32 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.7584911584854126,0,0,0,18,2025-12-01T17:25:08.427496,Jake Gyllenhaal; Jamie Lee Curtis,,,,,,0,jake gyllenhaal; jamie lee curtis; handstands; jake; gyllenhaal; jamie; lee; curtis; the covid-19; sourdough bread,jake gyllenhaal; jamie lee curtis; handstands; jake; gyllenhaal
69,Here's what you need to know if you haven't filed your return yet — and even if you have,"It's April 18, the official deadline to file your federal and state income tax returns for 2022. (It is also, apparently, National Animal Crackers Day for those who celebrate.)",https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,"Tue, 18 Apr 2023 14:15:43 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.7110530138015747,0,0,0,27,2025-12-01T17:25:08.427651,,National Animal Crackers Day,,April 18; 2022,,,0,april; your return; the official deadline; your federal and state income tax returns; national animal crackers day; return; deadline; state; income; tax,april; your return; the official deadline; your federal and state income tax returns; national animal crackers day
40,Newly released video shows scene of Jeremy Renner's snowplow accident,"Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The ""Avengers"" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.",https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,"Tue, 18 Apr 2023 14:09:43 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.6487451791763306,0,0,0,43,2025-12-01T17:25:08.427491,Jeremy Renner's; Jeremy Renner; Chloe Melas,CNN,,January,,,0,scene; firefighters; january; jeremy; renner; accident; jeremy renner's snowplow accident; body camera footage; sheriff's deputies; actor jeremy renner,scene; firefighters; january; jeremy; renner
92,Mifepristone saved my life,"The ruling earlier this month by a Texas federal judge to suspend the US Food and Drug Administration's approval of a drug that is used frequently for medication abortions, is very personal for me.",https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,"Tue, 18 Apr 2023 11:30:00 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.5118070840835571,0,0,0,21,2025-12-01T17:25:08.427799,,Mifepristone; the US Food and Drug Administration's,Texas,earlier this month,,,0,mifepristone; drug; my life; the ruling; a texas federal judge; the us food and drug administration's approval; a drug; medication abortions; life; ruling,mifepristone; drug; my life; the ruling; a texas federal judge
72,'World's longest' purpose-built cycling tunnel opens in Norway,"There are many ways to explore the seven mountains that surround the picturesque UNESCO World Heritage city of Bergen on Norway's fjord-studded west coast. The newest, however, might well be record-breaking.",https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,"Tue, 18 Apr 2023 10:44:27 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.7874372601509094,0,0,0,30,2025-12-01T17:25:08.427667,,,Norway; Bergen; west coast,,,,0,norway; bergen; world; world's longest' purpose-built cycling tunnel; many ways; the seven mountains; world heritage city; norway's fjord-studded west coast; record-breaking; purpose,norway; bergen; world; world's longest' purpose-built cycling tunnel; many ways
59,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,"Tue, 18 Apr 2023 09:41:42 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.6677533984184265,0,0,0,35,2025-12-01T17:25:08.427597,Atiq Ahmed; Vedika Sud,CNN,India,Saturday,,,0,kidnapping; police; saturday; lawmaker; repeated gunshots; live tv; assassins atiq ahmed; a former lawmaker; india's parliament; his brother,kidnapping; police; saturday; lawmaker; repeated gunshots
50,Apple CEO was presented with an original Macintosh. See his reaction,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,"Tue, 18 Apr 2023 09:17:25 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.8188713192939758,0,0,0,29,2025-12-01T17:25:08.427547,Tim Cook; Vedika Sud,Apple; Macintosh; CNN,Mumbai; India,,,,0,customers; mumbai; india; apple; ceo; apple ceo; an original macintosh; his reaction; ceo tim cook; the new apple store,customers; mumbai; india; apple; ceo
76,"China's economy is off to a solid start, rising 4.5% in Q1 2023",China's economy is off to a solid start in 2023 following its emergence from three years of strict pandemic restrictions.,https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,"Tue, 18 Apr 2023 07:01:12 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.9339345097541809,0,0,0,22,2025-12-01T17:25:08.427687,,,China,Q1 2023; 2023; three years,,,0,china's economy; a solid start; china; economy; start; its emergence; three years; strict pandemic restrictions; emergence; years,china's economy; a solid start; china; economy; start
75,Erotic images of seniors show sex and intimacy in new light,"What does intimacy look like for seniors? There's no end to sex scenes and other steamy content featuring the young and unwrinkled, but past a certain age, popular culture largely draws a blank — or treats sex as a punchline.",https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,"Tue, 18 Apr 2023 03:24:57 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.6234907507896423,0,0,0,32,2025-12-01T17:25:08.427682,,,,,,,0,seniors; intimacy; sex; erotic images; new light; no end; sex scenes; other steamy content; a certain age; popular culture,seniors; intimacy; sex; erotic images; new light
